iter	Passed	Remaining
400	11451	17105
401	11473	17068
402	11504	17042
403	11529	17008
404	11559	16982
405	11584	16948
406	11614	16922
407	11638	16887
408	11668	16860
409	11690	16822
410	11714	16788
411	11744	16762
412	11769	16727
413	11795	16696
414	11824	16668
415	11851	16637
416	11875	16602
417	11906	16577
418	11928	16540
419	11950	16503
420	11977	16471
421	12005	16443
422	12029	16409
423	12060	16384
424	12084	16349
425	12109	16316
426	12131	16279
427	12155	16245
428	12178	16209
429	12206	16180
430	12234	16151
431	12260	16120
432	12286	16089
433	12309	16053
434	12331	16017
435	12361	15991
436	12386	15957
437	12408	15921
438	12430	15884
439	12453	15850
440	12478	15817
441	12505	15787
442	12528	15753
443	12561	15729
444	12586	15698
445	12611	15665
446	12642	15640
447	12672	15613
448	12703	15589
449	12727	15555
450	12750	15521
451	12774	15488
452	12798	15454
453	12823	15422
454	12843	15384
455	12870	15353
456	12897	15324
457	12920	15289
458	12942	15254
459	12963	15218
460	12987	15184
461	13009	15149
462	13034	15117
463	13059	15086
464	13086	15057
465	13115	15029
466	13145	15003
467	13169	14970
468	13195	14940
469	13221	14909
470	13247	14879
471	13271	14845
472	13296	14814
473	13351	14816
474	13377	14785
475	13400	14752
476	13421	14716
477	13452	14690
478	13480	14662
479	13503	14628
480	13526	14595
481	13552	14564
482	13577	14533
483	13600	14499
484	13628	14471
485	13656	14443
486	13681	14411
487	13706	14380
488	13731	14348
489	13755	14316
490	13778	14283
491	13803	14252
492	13834	14227
493	13858	14195
494	13883	14164
495	13909	14133
496	13938	14106
497	13962	14075
498	13985	14041
499	14014	14014
500	14037	13981
501	14064	13952
502	14092	13924
503	14114	13889
504	14144	13864
505	14168	13832
506	14194	13802
507	14217	13769
508	14242	13738
509	14265	13705
510	14287	13672
511	14317	13646
512	14342	13615
513	14366	13583
514	14395	13557
515	14426	13532
516	14450	13500
517	14476	13470
518	14508	13445
519	14532	13414
520	14558	13384
521	14582	13353
522	14606	13322
523	14636	13295
524	14662	13266
525	14689	13237
526	14714	13206
527	14736	13173
528	14761	13142
529	14790	13116
