model,cv_MAE,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,best_params
LinearRegression,0.14610955850478038,0.1459248954574961,0.206187112979306,0.9413533906321101,0.14565401247487866,0.2036585844730448,0.9427715886673557,{}
Ridge,0.14610472590929693,0.145921516653717,0.20618751774304153,0.9413531603748099,0.1456525821321795,0.20365907400028407,0.9427713135510383,{'model__alpha': 10}
Lasso,0.15087015093545086,0.15083645479289678,0.21298285738254763,0.9374238021584977,0.15039298558095293,0.21025302744647173,0.9390054875571745,{'model__alpha': 0.01}
KNN,0.4323970786305062,2.5984211088581065e-08,8.016710416146925e-08,0.9999999999999911,0.42417029591748395,0.5332652431031166,0.6076327009006421,"{'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'distance'}"
DecisionTree,0.0028641865959955783,0.0,0.0,1.0,0.0018497392112289887,0.008941292190770377,0.9998896920476296,"{'model__max_depth': None, 'model__min_samples_leaf': 1}"
RandomForest,0.11430424142947852,0.04080699972831056,0.05819064048362654,0.9953288248928124,0.10908479091448207,0.15645581784856036,0.966225441355335,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}"
GradientBoosting,0.011944461190674638,0.011227464024671412,0.014609885238831161,0.9997055486957785,0.01142075394850025,0.015430297060324708,0.9996714852888406,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}"
