model,best_params,train_MAE,test_MAE,train_R2,test_R2
GradientBoosting,"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 200}",0.3433468587087247,0.3490617510003631,0.6668811274170023,0.6567389876836609
RandomForest,"{'model__max_depth': 10, 'model__n_estimators': 200}",0.33297219215004353,0.3505507250521893,0.67945898582388,0.6546546302827652
DecisionTree,{'model__max_depth': 8},0.3476310158253109,0.35511411967749534,0.6571894220002044,0.6473541429682645
KNN,"{'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'distance'}",0.0,0.5720817588430089,1.0,0.2748207895771866
Lasso,{'model__alpha': 0.001},0.5912849469819319,0.5931682169540158,0.24302339816021767,0.23586022957934993
Ridge,{'model__alpha': 0.1},0.5910325193643046,0.5932156306813995,0.24363464440878568,0.23596917025033215
LinearRegression,{},0.5910324715698559,0.5932157300777393,0.2436346448977732,0.2359689951304894
